date,open,high,low,close,volume
2026-03-30,122.5,126.38,119.27,124.13,4487532.0
2026-03-31,126.06,135.9,125.12,134.65,5443807.0
2026-04-01,136.38,139.34,133.25,136.18,3932000.0
2026-04-02,129.67,137.12,128.63,136.0,3077714.0
2026-04-06,138.46,140.56,136.22,138.34,3208700.0
2026-04-07,137.5,141.27,136.35,141.14,2340500.0
2026-04-08,151.59,154.77,143.86,145.0,3995814.0
2026-04-09,144.54,145.17,135.0,138.38,5076500.0
2026-04-10,141.05,142.3,135.99,139.73,3259543.0
2026-04-13,138.97,149.45,138.81,149.35,3638900.0
2026-04-14,152.61,156.5,151.78,154.54,4453100.0
2026-04-15,156.78,160.38,155.33,158.48,4173900.0
2026-04-16,163.11,164.0,157.01,162.45,4032329.0
2026-04-17,165.51,168.7,161.36,163.8,4068600.0
2026-04-20,162.15,166.79,161.01,166.28,3055100.0
2026-04-21,166.5,167.92,156.09,156.82,4777225.0
2026-04-22,161.38,164.41,158.95,164.31,2890108.0
2026-04-23,162.3,162.3,151.22,152.96,3707926.0
2026-04-24,154.3,154.93,150.55,154.89,3242219.0
2026-04-27,154.38,163.15,154.05,160.21,3311700.0
2026-04-28,153.02,153.73,146.55,147.93,5156330.0
2026-04-29,146.0,148.78,143.09,147.75,3373206.0
2026-04-30,146.85,150.2,143.39,147.23,9383433.0
2026-05-01,165.51,173.0,156.49,166.48,14252200.0
2026-05-04,170.08,175.29,164.65,169.07,6092000.0
2026-05-05,171.0,177.13,167.62,171.63,7080642.0
2026-05-06,172.03,172.65,162.55,166.56,7179800.0
2026-05-07,168.5,169.1,159.6,163.95,5444700.0
2026-05-08,162.62,162.9,155.21,155.8,5779000.0
2026-05-11,153.5,162.45,153.5,159.51,5077727.0
2026-05-12,159.3,161.04,150.32,152.35,4698100.0
2026-05-13,152.0,154.7,148.5,154.12,4151100.0
2026-05-14,155.78,157.23,149.03,156.31,3266000.0
2026-05-15,153.55,159.16,153.14,158.17,3340033.0
2026-05-18,157.0,160.98,153.57,159.11,3457200.0
2026-05-19,158.23,161.49,154.15,154.88,4080700.0
2026-05-20,154.02,154.76,143.91,146.72,10395714.0
2026-05-21,144.31,153.45,144.1,150.04,3494500.0
2026-05-22,145.23,145.79,140.67,141.67,7849900.0
2026-05-26,143.5,145.89,139.55,144.64,5398443.0
2026-05-27,144.5,158.55,144.24,154.19,5704900.0
2026-05-28,155.01,167.72,151.66,167.69,5726049.0
2026-05-29,168.71,176.69,166.49,176.0,9360119.0
2026-06-01,179.9,182.65,174.85,177.85,5794900.0
2026-06-02,174.52,175.75,166.66,169.13,4316517.0
2026-06-03,167.0,170.49,159.11,169.49,3399142.0
2026-06-04,170.4,187.34,169.81,183.91,7381000.0
2026-06-05,182.18,186.45,167.04,173.45,5965647.0
2026-06-08,171.51,173.45,166.16,171.13,3031435.0
2026-06-09,178.55,183.12,166.9,178.11,5237700.0
2026-06-10,174.45,179.8,170.8,172.21,3235200.0
2026-06-11,168.7,174.0,163.77,173.26,3207924.0
2026-06-12,172.49,173.0,158.36,162.1,5768000.0
2026-06-15,168.81,182.0,167.91,181.88,4844000.0
2026-06-16,181.95,182.41,174.72,175.39,3562101.0
2026-06-17,174.41,175.41,165.95,165.95,4405012.0
2026-06-18,169.0,176.22,165.88,174.96,5337416.0
2026-06-22,171.86,182.3,167.01,170.44,4386400.0
2026-06-23,167.0,174.0,164.67,165.63,3364922.0
2026-06-24,164.7,167.7,157.27,160.72,4166337.0
2026-06-25,160.35,160.35,152.65,158.02,2783047.0
2026-06-26,156.62,169.02,155.7,166.94,6325811.0
